path,module,priority,size_kb,emoji,sections,learningObjectives,exercises,references,etymology,needs_upgrade
002-markdown/013-SubscriptSuperscript.md,002-markdown,P0,4.4,0,1,False,False,False,False,True
002-markdown/002-HeadingSyntax.md,002-markdown,P0,4.5,0,1,False,False,False,False,True
002-markdown/004-BasicTextFormat.md,002-markdown,P0,4.8,0,0,False,False,False,False,True
002-markdown/020-AnchorJump.md,002-markdown,P0,4.8,0,1,False,False,False,False,True
002-markdown/011-AutoLink.md,002-markdown,P0,4.9,0,1,False,False,False,False,True
002-markdown/019-AutoTOC.md,002-markdown,P0,4.9,0,0,False,False,False,False,True
002-markdown/003-ParagraphLineBreak.md,002-markdown,P0,4.9,0,0,False,False,False,False,True
002-markdown/008-EscapeCharacter.md,002-markdown,P0,5.1,0,3,False,False,False,False,True
002-markdown/009-Footnote.md,002-markdown,P0,5.1,0,0,False,False,False,False,True
002-markdown/025-SpecDocumentWriting.md,002-markdown,P0,5.1,0,2,False,False,False,False,True
002-markdown/012-Emoji.md,002-markdown,P0,5.2,0,0,False,False,False,False,True
002-markdown/014-LaTeXMathFormula.md,002-markdown,P0,5.8,0,0,False,False,False,False,True
002-markdown/022-VCSPRCollaboration.md,002-markdown,P0,5.9,0,1,False,False,False,False,True
002-markdown/021-ImageCDNAcceleration.md,002-markdown,P0,6.0,0,1,False,False,False,False,True
002-markdown/018-ConversionTool.md,002-markdown,P0,6.2,0,0,False,False,False,False,True
002-markdown/016-EditorFeature.md,002-markdown,P0,6.3,0,0,False,False,False,False,True
002-markdown/005-CommonMarkSpec.md,002-markdown,P0,6.3,0,1,False,False,False,False,True
002-markdown/017-LinkImage.md,002-markdown,P0,6.6,0,1,False,False,False,False,True
002-markdown/007-GitHubFlavoredMarkdown.md,002-markdown,P0,7.2,0,1,False,False,False,False,True
002-markdown/015-Mermaid.md,002-markdown,P0,7.9,0,0,False,False,False,False,True
002-markdown/023-CodeBlockSyntaxHighlight.md,002-markdown,P0,8.3,0,1,False,False,False,False,True
002-markdown/024-Table.md,002-markdown,P0,9.0,0,0,False,False,False,False,True
002-markdown/006-ListSyntax.md,002-markdown,P0,9.1,0,0,False,False,False,False,True
002-markdown/026-AdvancedSyntaxDocumentAutomation.md,002-markdown,P0,9.8,0,3,False,False,False,False,True
002-markdown/010-Strikethrough.md,002-markdown,P0,12.7,0,11,True,True,True,True,True
002-markdown/001-SyntaxGuide.md,002-markdown,P0,23.7,0,3,False,False,False,False,True
006-html5/017-ProgressMeter.md,006-html5,P0,1.9,0,0,False,False,False,False,True
006-html5/026-MicrodataJSONLD.md,006-html5,P0,2.1,0,0,False,False,False,False,True
006-html5/023-HistoryAPI.md,006-html5,P0,2.1,0,2,False,False,False,False,True
006-html5/014-AudioVideo.md,006-html5,P0,2.1,0,0,False,False,False,False,True
006-html5/020-Geolocation.md,006-html5,P0,2.2,0,0,False,False,False,False,True
006-html5/024-WebSocket.md,006-html5,P0,2.3,0,2,False,False,False,False,True
006-html5/029-ViewportConfigMobileFirst.md,006-html5,P0,2.4,0,0,False,False,False,False,True
006-html5/019-DragAPI.md,006-html5,P0,2.4,0,0,False,False,False,False,True
006-html5/021-WebWorkers.md,006-html5,P0,2.4,0,1,False,False,False,False,True
006-html5/022-ServiceWorkerPWA.md,006-html5,P0,2.6,0,1,False,False,False,False,True
006-html5/010-TextSemantic.md,006-html5,P0,2.7,0,0,False,False,False,False,True
006-html5/015-SVG.md,006-html5,P0,2.7,0,0,False,False,False,False,True
006-html5/009-MetadataCharacterEncoding.md,006-html5,P0,3.3,0,1,False,False,False,False,True
006-html5/007-DocTypeDeclaration.md,006-html5,P0,3.6,0,1,False,False,False,False,True
006-html5/018-WebComponentsPWADevelopment.md,006-html5,P0,11.3,0,2,False,False,False,False,True
006-html5/011-List.md,006-html5,P0,12.9,0,12,True,True,True,True,True
006-html5/003-SemanticTag.md,006-html5,P0,13.0,0,1,False,False,False,False,True
006-html5/012-LinkageAnchor.md,006-html5,P0,13.0,0,11,True,True,True,True,True
006-html5/004-Accessibility.md,006-html5,P0,13.2,0,0,False,False,False,False,True
006-html5/001-HTML5OverviewCoreFeature.md,006-html5,P0,19.0,0,1,False,False,False,False,True
006-html5/002-HTML5BasicTagGlobalAttribute.md,006-html5,P0,19.5,0,0,False,False,False,False,True
006-html5/008-HTML5OfflineStorageWebAPI.md,006-html5,P0,24.1,0,1,False,False,False,False,True
006-html5/006-HTML5MultimediaCanvasDrawing.md,006-html5,P0,25.1,0,1,False,False,False,False,True
006-html5/030-HTML5ProjectExampleInteractiveFormApplication.md,006-html5,P0,29.0,0,0,False,False,False,False,True
006-html5/005-HTML5FormValidation.md,006-html5,P0,31.4,0,1,False,False,False,False,True
006-html5/028-CrossDocumentCommunication.md,006-html5,P0,50.6,0,12,False,False,False,False,True
006-html5/013-ImageResponsiveImage.md,006-html5,P0,52.0,0,12,False,False,False,False,True
006-html5/027-CustomDataAttribute.md,006-html5,P0,52.4,0,12,False,False,False,False,True
006-html5/016-EmbeddedContent.md,006-html5,P0,73.8,0,12,False,False,False,False,True
